D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,ModelName,NAME_Num,NAME_Part,Kind,CHIP_L,CHIP_W,CHIP_T,VOLUME,NOZZLE_A,NOZZLE_B,NOZZLE_C,NOZZLE_D,NOZZLE_E,X,Y,A,DISTANCE,TapeWidth,TapePitch,SupplyType_num,SupplyKind_num,TapeKind_num,PartCount,TURN,TS,MS,NP,HEAD,NOZZLE,NOZZLE_Slot,PU,SIDE,Mounter_Order,TACT
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-77.3,95.7,90,123.019429359756,8,2,1,1,4,5000,2,5,14,3,5,230,523,50019,1,1,22.653
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-72.15,96,-90,120.090059955019,8,2,1,1,4,5000,5,1,7,4,4,230,424,40009,2,2,24.791
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-89.85,99.4,-90,133.990232852996,8,2,1,1,4,5000,3,2,9,12,4,230,414,40009,2,3,24.791
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,754,EAE65237801,2,1.6,0.8,0.8,1.024,230,235,0,0,0,-46.8,113.75,90,123.00122966865,8,4,2,1,4,5000,7,2,2,7,4,230,427,40011,2,4,24.791
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,780,EAE65238313,2,2,1.2,1,2.4,235,0,0,0,0,-72,122.7,90,142.264858626437,8,4,4,1,3,5000,7,4,3,4,6,235,624,60005,1,5,23.865
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-73.15,97.75,90,122.090069211218,8,2,1,1,4,5000,9,3,10,3,4,230,423,40009,2,6,24.791
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-93.85,89.55,-90,129.719023277236,8,2,1,1,4,5000,4,3,2,9,3,230,311,30014,2,7,24.083
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,780,EAE65238313,2,2,1.2,1,2.4,235,0,0,0,0,-91.8,125.05,90,155.128148638472,8,4,4,1,3,5000,2,1,15,4,6,235,624,60005,1,8,23.865
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-84.45,118.1,-90,145.187508071459,8,2,1,1,4,5000,7,5,16,5,1,230,125,10021,1,9,23.819
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,754,EAE65237801,2,1.6,0.8,0.8,1.024,230,235,0,0,0,-47.1,123.55,-90,132.223343249216,8,4,2,1,4,5000,4,2,5,7,4,230,427,40011,2,10,24.791
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,780,EAE65238313,2,2,1.2,1,2.4,235,0,0,0,0,-90.7,127.9,0,156.795726982593,8,4,4,1,3,5000,2,3,12,11,6,235,613,60005,1,11,23.865
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-91.725,106.9,0,140.858388550345,8,2,1,1,4,5000,7,14,6,11,1,230,113,10021,1,12,23.819
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-87.65,114.9,0,144.514817579375,8,2,1,1,4,5000,7,4,2,4,1,230,124,10021,1,13,23.819
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,780,EAE65238313,2,2,1.2,1,2.4,235,0,0,0,0,-88.6,130.75,180,157.94151607478,8,4,4,1,3,5000,2,4,16,12,6,235,614,60005,1,14,23.865
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-84.25,114.9,0,142.478322912645,8,2,1,1,4,5000,6,5,12,5,1,230,125,10021,1,15,23.819
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,760,EAE65238101,2,0.92,0.48,0.45,0.19872,230,0,0,0,0,-118.95,86.55,90,147.105421382082,8,2,1,1,4,5000,6,2,4,16,2,230,218,20014,1,16,24.773
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,754,EAE65237801,2,1.6,0.8,0.8,1.024,230,235,0,0,0,-47.3,99.2,90,109.899636032154,8,4,2,1,4,5000,7,1,3,8,4,230,428,40011,2,17,24.791
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-91.15,97.55,0,133.507771309389,8,2,1,1,4,5000,2,13,14,16,4,230,418,40009,2,18,24.791
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-78.25,97.5,180,125.017248809914,8,2,1,1,4,5000,2,9,11,12,4,230,414,40009,2,19,24.791
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,780,EAE65238313,2,2,1.2,1,2.4,235,0,0,0,0,-68.6,126.7,-90,144.079318432591,8,4,4,1,3,5000,6,2,4,11,6,235,613,60005,1,20,23.865
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-70.1,125.6,-90,143.837999151824,8,2,1,1,4,5000,2,6,3,4,1,230,124,10021,1,21,23.819
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,780,EAE65238313,2,2,1.2,1,2.4,235,0,0,0,0,-124.4,111.55,90,167.08908552027,8,4,4,1,3,5000,4,4,11,12,6,235,614,60005,1,22,23.865
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,754,EAE65237801,2,1.6,0.8,0.8,1.024,230,235,0,0,0,-47.55,94.7,180,105.967412443638,8,4,2,1,4,5000,7,4,4,16,4,230,418,40011,2,23,24.791
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-71.75,115.65,180,136.0991733994,8,2,1,1,4,5000,5,9,9,15,1,230,117,10021,1,24,23.819
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,780,EAE65238313,2,2,1.2,1,2.4,235,0,0,0,0,-71.9,126.65,90,145.635958815122,8,4,4,1,3,5000,7,3,2,3,6,235,623,60005,1,25,23.865
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-73.75,115.75,180,137.248406183824,8,2,1,1,4,5000,7,11,12,14,1,230,116,10021,1,26,23.819
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,754,EAE65237801,2,1.6,0.8,0.8,1.024,230,235,0,0,0,-117.1,94,90,150.161279962579,8,4,2,1,4,5000,5,1,8,8,4,230,428,40011,2,27,24.791
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-41.7,103.5,0,111.584676367322,8,2,1,1,4,5000,4,3,14,11,4,230,413,40009,2,28,24.791
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-41.7,102.5,0,110.657760685819,8,2,1,1,4,5000,1,9,12,9,4,230,411,40009,2,29,24.791
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-39.6,104.8,0,112.03213824613,8,2,1,1,4,5000,4,1,8,4,4,230,424,40009,2,30,24.791
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-39.6,103.8,0,111.097254691554,8,2,1,1,4,5000,4,2,10,3,4,230,423,40009,2,31,24.791
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-41.7,106.1,0,114.000438595648,8,2,1,1,4,5000,1,2,10,16,1,230,118,10021,1,32,23.819
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,754,EAE65237801,2,1.6,0.8,0.8,1.024,230,235,0,0,0,-117.45,101.6,0,155.296691851436,8,4,2,1,4,5000,5,2,5,7,4,230,427,40011,2,33,24.791
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-41.7,105.1,0,113.070332094675,8,2,1,1,4,5000,7,3,9,11,4,230,413,40009,2,34,24.791
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-39.6,107.4,0,114.467986791067,8,2,1,1,4,5000,3,1,10,15,1,230,117,10021,1,35,23.819
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-39.6,106.4,0,113.530260283327,8,2,1,1,4,5000,1,1,6,15,1,230,117,10021,1,36,23.819
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,665,EAE64801801,2,1,0.5,0.5,0.25,230,0,0,0,0,-84.35,92.2,-90,124.963044537175,8,2,1,1,4,5000,7,3,8,14,5,230,516,50015,1,37,22.653
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,754,EAE65237801,2,1.6,0.8,0.8,1.024,230,235,0,0,0,-117.15,115.25,0,164.337107799791,8,4,2,1,4,5000,5,4,6,16,4,230,418,40011,2,38,24.791
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,754,EAE65237801,2,1.6,0.8,0.8,1.024,230,235,0,0,0,-117.5,122.5,0,169.74245196768,8,4,2,1,4,5000,5,3,4,15,4,230,417,40011,2,39,24.791
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,622,EAE64383301,2,2,1.3,1.3,3.38,235,0,0,0,0,-46.55,106.15,-90,115.90826113785,8,4,4,1,3,5000,5,4,16,5,6,235,625,60006,1,40,23.865
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,622,EAE64383301,2,2,1.3,1.3,3.38,235,0,0,0,0,-117.8,112.05,0,162.579342168678,8,4,4,1,3,5000,1,3,1,1,6,235,621,60006,1,41,23.865
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,627,EAE64427401,2,2,1.3,1.3,3.38,235,1001,0,0,0,-57.55,56.05,-90,80.334332635555,8,4,4,1,3,5000,9,4,5,11,6,235,613,60007,1,42,23.865
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,627,EAE64427401,2,2,1.3,1.3,3.38,235,1001,0,0,0,-54.6,56.05,-90,78.248083043612,8,4,4,1,3,5000,7,2,11,9,6,235,611,60007,1,43,23.865
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-60.4,60,180,85.1361262919567,8,2,1,1,4,5000,8,1,3,6,3,230,326,30014,2,44,24.083
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-60.4,59,180,84.4343531982096,8,2,1,1,4,5000,8,3,4,14,3,230,316,30014,2,45,24.083
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-53.45,58.3,0,79.0935680065073,8,2,1,1,4,5000,3,2,4,5,3,230,325,30014,2,46,24.083
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-53.45,59.3,0,79.8335299232096,8,2,1,1,4,5000,2,8,9,14,3,230,316,30014,2,47,24.083
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-60.4,62.15,90,86.6647708125972,8,2,1,1,4,5000,3,1,6,6,3,230,326,30014,2,48,24.083
15,20,1,3,1,2,2,3,1,3,1,0,1,0,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-59.4,62.15,90,85.9708235391519,8,2,1,1,4,5000,3,6,4,3,5,230,523,50019,1,49,22.653
