D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,ModelName,NAME_Num,NAME_Part,Kind,CHIP_L,CHIP_W,CHIP_T,VOLUME,NOZZLE_A,NOZZLE_B,NOZZLE_C,NOZZLE_D,NOZZLE_E,X,Y,A,DISTANCE,TapeWidth,TapePitch,SupplyType_num,SupplyKind_num,TapeKind_num,PartCount,TURN,TS,MS,NP,HEAD,NOZZLE,NOZZLE_Slot,PU,SIDE,Mounter_Order,TACT
20,10,1,3,1,1,5,1,1,1,0,0,0,0,2,261,0RJ1003C478,1,1,0.5,0.35,0.175,230,0,0,0,0,-75.85,61.8,-90,97.8389620754431,8,2,1,1,4,10000,2,8,4,9,1,230,111,10023,2,1,20.286
20,10,1,3,1,1,5,1,1,1,0,0,0,0,2,290,0RJ2202C478,1,0.98,0.5,0.35,0.1715,230,0,0,0,0,-106.8,162.25,-90,194.245469702642,8,2,1,1,4,10000,6,2,11,14,1,230,116,10022,2,2,20.286
20,10,1,3,1,1,5,1,1,1,0,0,0,0,2,2219,EBC62528454,1,1,0.5,0.35,0.175,230,0,0,0,0,-107.8,162.25,-90,194.797080316929,8,2,1,1,4,10000,5,1,1,4,2,230,224,20014,1,3,18.489
20,10,1,3,1,1,5,1,1,1,0,0,0,0,2,346,0RJ8200C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-109.6,161.85,180,195.467599616919,8,2,1,1,4,10000,6,1,10,14,4,230,416,40020,1,4,18.019
20,10,1,3,1,1,5,1,1,1,0,0,0,0,2,261,0RJ1003C478,1,1,0.5,0.35,0.175,230,0,0,0,0,-76.85,61.8,-90,98.616238520844,8,2,1,1,4,10000,2,7,5,10,1,230,112,10023,2,5,20.286
20,10,1,3,1,1,5,1,1,1,0,0,0,0,2,240,0RJ0222C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-52.5,158.15,-90,166.636348075682,8,2,1,1,4,10000,3,2,11,12,4,230,414,40011,2,6,18.019
20,10,1,3,1,1,5,1,1,1,0,0,0,0,2,240,0RJ0222C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-51.1,158.15,-90,166.200579120531,8,2,1,1,4,10000,2,2,4,12,4,230,414,40011,2,7,18.019
20,10,1,3,1,1,5,1,1,1,0,0,0,0,2,336,0RJ5601C478,1,1,0.5,0.35,0.175,230,0,0,0,0,-91,143.85,-90,170.216986520147,8,2,1,1,4,10000,7,4,10,11,2,230,213,20011,2,8,18.489
20,10,1,3,1,1,5,1,1,1,0,0,0,0,2,240,0RJ0222C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-47,158.15,-90,164.986128204768,8,2,1,1,4,10000,2,1,2,4,4,230,424,40011,2,9,18.019
20,10,1,3,1,1,5,1,1,1,0,0,0,0,2,336,0RJ5601C478,1,1,0.5,0.35,0.175,230,0,0,0,0,-90,143.85,-90,169.684479254881,8,2,1,1,4,10000,7,5,11,12,2,230,214,20011,2,10,18.489
20,10,1,3,1,1,5,1,1,1,0,0,0,0,2,240,0RJ0222C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-50.1,158.15,-90,165.895848350705,8,2,1,1,4,10000,3,1,12,4,4,230,424,40011,2,11,18.019
20,10,1,3,1,1,5,1,1,1,0,0,0,0,2,336,0RJ5601C478,1,1,0.5,0.35,0.175,230,0,0,0,0,-92,143.85,-90,170.753689564823,8,2,1,1,4,10000,7,3,9,3,2,230,223,20011,2,12,18.489
20,10,1,3,1,1,5,1,1,1,0,0,0,0,2,2204,EBC62528408,1,1,0.5,0.35,0.175,230,0,0,0,0,-109.6,162.85,180,196.296414893395,8,2,1,1,4,10000,1,3,2,5,2,230,225,20013,2,13,18.489
20,10,1,3,1,1,5,1,1,1,0,0,0,0,2,235,0RJ0000C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-69.4,152.95,180,167.958514223007,8,2,1,1,4,10000,3,2,13,16,4,230,418,40013,2,14,18.019
20,10,1,3,1,1,5,1,1,1,0,0,0,0,2,264,0RJ1004C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-63.5,160.45,-90,172.558548035152,8,2,1,1,4,10000,6,1,13,4,1,230,124,10018,1,15,20.286
20,10,1,3,1,1,5,1,1,1,0,0,0,0,2,258,0RJ1001E478,1,1,0.5,0.35,0.175,230,0,0,0,0,-127.4,113.65,180,170.725166568963,8,2,1,1,4,10000,4,2,16,14,4,230,416,40016,1,16,18.019
20,10,1,3,1,1,5,1,1,1,0,0,0,0,2,258,0RJ1001E478,1,1,0.5,0.35,0.175,230,0,0,0,0,-127.4,112.65,180,170.061114014933,8,2,1,1,4,10000,4,1,15,6,4,230,426,40016,1,17,18.019
20,10,1,3,1,1,5,1,1,1,0,0,0,0,2,2442,EBC64035701,1,1,0.5,0.35,0.175,230,0,0,0,0,-63.5,162.35,-90,174.326625906658,8,2,1,1,4,10000,5,1,9,16,4,230,418,40019,1,18,18.019
20,10,1,3,1,1,5,1,1,1,0,0,0,0,2,2204,EBC62528408,1,1,0.5,0.35,0.175,230,0,0,0,0,-78.9,158.45,180,177.007379789657,8,2,1,1,4,10000,1,13,10,14,2,230,216,20013,2,19,18.489
20,10,1,3,1,1,5,1,1,1,0,0,0,0,2,2204,EBC62528408,1,1,0.5,0.35,0.175,230,0,0,0,0,-78.9,160.05,180,178.441061698254,8,2,1,1,4,10000,1,11,6,12,2,230,214,20013,2,20,18.489
20,10,1,3,1,1,5,1,1,1,0,0,0,0,2,2204,EBC62528408,1,1,0.5,0.35,0.175,230,0,0,0,0,-63.5,155.75,-90,168.197242843038,8,2,1,1,4,10000,1,10,8,11,2,230,213,20013,2,21,18.489
20,10,1,3,1,1,5,1,1,1,0,0,0,0,2,235,0RJ0000C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-67,152.95,180,166.98114414508,8,2,1,1,4,10000,1,2,2,12,4,230,414,40013,2,22,18.019
