D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,ModelName,NAME_Num,NAME_Part,Kind,CHIP_L,CHIP_W,CHIP_T,VOLUME,NOZZLE_A,NOZZLE_B,NOZZLE_C,NOZZLE_D,NOZZLE_E,X,Y,A,DISTANCE,TapeWidth,TapePitch,SupplyType_num,SupplyKind_num,TapeKind_num,PartCount,TURN,TS,MS,NP,HEAD,NOZZLE,NOZZLE_Slot,PU,SIDE,Mounter_Order,TACT
20,20,1,3,1,1,1,3,1,1,0,0,0,0,4,72,0CK331BKFDA,2,0.9,0.5,0.5,0.225,230,0,0,0,0,-112.4,135.65,90,176.166632765686,8,2,1,1,4,10000,6,5,8,13,2,230,215,20011,2,1,23.033
20,20,1,3,1,1,1,3,1,1,0,0,0,0,4,72,0CK331BKFDA,2,0.9,0.5,0.5,0.225,230,0,0,0,0,-122.5,119.65,0,171.237765986362,8,2,1,1,4,10000,5,4,12,7,2,230,227,20011,2,2,23.033
20,20,1,3,1,1,1,3,1,1,0,0,0,0,4,762,EAE65238103,2,0.92,0.49,0.3,0.13524,230,0,0,0,0,-125,118.45,0,172.207440315452,8,2,1,1,4,5000,7,4,11,11,1,230,113,10022,2,3,21.566
20,20,1,3,1,1,1,3,1,1,0,0,0,0,4,762,EAE65238103,2,0.92,0.49,0.3,0.13524,230,0,0,0,0,-47.7,52.55,0,70.9703635329565,8,2,1,1,4,5000,3,3,7,4,1,230,124,10022,2,4,21.566
20,20,1,3,1,1,1,3,1,1,0,0,0,0,4,761,EAE65238102,2,0.92,0.49,0.3,0.13524,230,0,0,0,0,-108.95,176.15,90,207.120556681369,8,2,1,1,4,5000,6,1,1,5,2,230,225,20015,1,5,23.033
20,20,1,3,1,1,1,3,1,1,0,0,0,0,4,4,0CC102CK41A,2,1.42,0.7,0.8,0.7952,235,230,0,0,0,-112.6,158.75,-90,194.628678513728,8,4,2,1,4,5000,4,2,8,16,4,230,418,40012,1,6,21.420
20,20,1,3,1,1,1,3,1,1,0,0,0,0,4,4,0CC102CK41A,2,1.42,0.7,0.8,0.7952,235,230,0,0,0,-112.6,161.75,90,197.083288231144,8,4,2,1,4,5000,4,1,4,8,4,230,428,40012,1,7,21.420
20,20,1,3,1,1,1,3,1,1,0,0,0,0,4,630,EAE64462201,2,1,0.5,0.3,0.15,230,0,0,0,0,-47.4,49.75,0,68.7155186257078,8,2,1,1,4,5000,6,1,4,8,1,230,128,10016,2,8,21.566
20,20,1,3,1,1,1,3,1,1,0,0,0,0,4,762,EAE65238103,2,0.92,0.49,0.3,0.13524,230,0,0,0,0,-128,151.15,180,198.066459805793,8,2,1,1,4,5000,6,5,5,16,2,230,218,20013,1,9,23.033
20,20,1,3,1,1,1,3,1,1,0,0,0,0,4,425,EAE62681704,2,1,0.5,0.5,0.25,230,0,0,0,0,-126.2,151.15,180,196.908005169927,8,2,1,1,4,5000,5,1,8,15,2,230,217,20016,1,10,23.033
