D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,ModelName,NAME_Num,NAME_Part,Kind,CHIP_L,CHIP_W,CHIP_T,VOLUME,NOZZLE_A,NOZZLE_B,NOZZLE_C,NOZZLE_D,NOZZLE_E,X,Y,A,DISTANCE,TapeWidth,TapePitch,SupplyType_num,SupplyKind_num,TapeKind_num,PartCount,TURN,TS,MS,NP,HEAD,NOZZLE,NOZZLE_Slot,PU,SIDE,Mounter_Order,TACT
20,30,2,3,1,2,1,3,1,1,0,1,1,1,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-77.3,95.7,90,123.019429359756,8,2,1,1,4,5000,5,13,10,12,1,230,114,10019,1,1,24.870
20,30,2,3,1,2,1,3,1,1,0,1,1,1,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-72.15,96,-90,120.090059955019,8,2,1,1,4,5000,1,4,13,4,4,230,424,40012,2,2,24.648
20,30,2,3,1,2,1,3,1,1,0,1,1,1,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-89.85,99.4,-90,133.990232852996,8,2,1,1,4,5000,3,2,7,7,4,230,427,40012,2,3,24.648
20,30,2,3,1,2,1,3,1,1,0,1,1,1,0,754,EAE65237801,2,1.6,0.8,0.8,1.024,230,235,0,0,0,-46.8,113.75,90,123.00122966865,8,4,2,1,4,5000,3,3,7,9,6,235,611,60012,2,4,23.974
20,30,2,3,1,2,1,3,1,1,0,1,1,1,0,780,EAE65238313,2,2,1.2,1,2.4,235,0,0,0,0,-72,122.7,90,142.264858626437,8,4,4,1,3,5000,4,6,2,1,5,235,521,50016,2,5,24.797
20,30,2,3,1,2,1,3,1,1,0,1,1,1,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-73.15,97.75,90,122.090069211218,8,2,1,1,4,5000,1,10,13,13,1,230,115,10019,1,6,24.870
20,30,2,3,1,2,1,3,1,1,0,1,1,1,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-93.85,89.55,-90,129.719023277236,8,2,1,1,4,5000,7,4,2,16,3,230,318,30020,2,7,23.047
20,30,2,3,1,2,1,3,1,1,0,1,1,1,0,780,EAE65238313,2,2,1.2,1,2.4,235,0,0,0,0,-91.8,125.05,90,155.128148638472,8,4,4,1,3,5000,3,3,1,9,5,235,511,50016,2,8,24.797
20,30,2,3,1,2,1,3,1,1,0,1,1,1,0,508,EAE63422304,2,1,0.5,0.5,0.25,230,226,0,0,0,-84.45,118.1,-90,145.187508071459,8,2,1,1,4,5000,2,2,14,7,4,230,427,40012,2,9,24.648
20,30,2,3,1,2,1,3,1,1,0,1,1,1,0,754,EAE65237801,2,1.6,0.8,0.8,1.024,230,235,0,0,0,-47.1,123.55,-90,132.223343249216,8,4,2,1,4,5000,4,1,2,2,6,235,622,60012,2,10,23.974
