D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,ModelName,NAME_Num,NAME_Part,Kind,CHIP_L,CHIP_W,CHIP_T,VOLUME,NOZZLE_A,NOZZLE_B,NOZZLE_C,NOZZLE_D,NOZZLE_E,X,Y,A,DISTANCE,TapeWidth,TapePitch,SupplyType_num,SupplyKind_num,TapeKind_num,PartCount,TURN,TS,MS,NP,HEAD,NOZZLE,NOZZLE_Slot,PU,SIDE,Mounter_Order,TACT
20,60,1,3,1,1,1,3,1,2,0,1,0,0,3,2328,EBC63855601,1,1,0.5,0.35,0.175,230,0,0,0,0,-41.8,149.65,180,155.378127482603,8,2,1,1,4,10000,6,1,1,6,4,230,426,40020,1,1,14.890
20,60,1,3,1,1,1,3,1,2,0,1,0,0,3,2205,EBC62528409,1,1,0.5,0.35,0.175,230,0,0,0,0,-17.95,73.4,-90,75.5629704286432,8,2,1,1,4,10000,1,4,15,14,2,230,216,20016,1,2,15.211
20,60,1,3,1,1,1,3,1,2,0,1,0,0,3,2445,EBC64038503,1,1,0.5,0.35,0.175,230,0,0,0,0,-93.5,50,-90,106.029477033512,8,2,1,1,4,10000,4,2,7,9,3,230,311,30017,2,3,15.969
20,60,1,3,1,1,1,3,1,2,0,1,0,0,3,2205,EBC62528409,1,1,0.5,0.35,0.175,230,0,0,0,0,-17.95,71.4,-90,73.6217528995337,8,2,1,1,4,10000,1,5,16,15,2,230,217,20016,1,4,15.211
20,60,1,3,1,1,1,3,1,2,0,1,0,0,3,2210,EBC62528423,1,1,0.5,0.35,0.175,230,0,0,0,0,-17.7,36.35,-90,40.4303413292542,8,2,1,1,4,10000,5,3,1,12,3,230,314,30022,2,5,15.969
20,60,1,3,1,1,1,3,1,2,0,1,0,0,3,2213,EBC62528429,1,1,0.5,0.35,0.175,230,0,0,0,0,-120.2,166.55,180,205.394601925172,8,2,1,1,4,10000,1,10,12,14,4,230,416,40012,2,6,14.890
20,60,1,3,1,1,1,3,1,2,0,1,0,0,3,240,0RJ0222C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-113.1,164.35,-90,199.505720469364,8,2,1,1,4,10000,1,9,13,15,4,230,417,40013,2,7,14.890
20,60,1,3,1,1,1,3,1,2,0,1,0,0,3,240,0RJ0222C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-114.1,164.35,-90,200.074317442294,8,2,1,1,4,10000,2,5,8,15,4,230,417,40013,2,8,14.890
20,60,1,3,1,1,1,3,1,2,0,1,0,0,3,240,0RJ0222C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-111.1,164.35,-90,198.378760203808,8,2,1,1,4,10000,3,6,5,7,4,230,427,40013,2,9,14.890
20,60,1,3,1,1,1,3,1,2,0,1,0,0,3,240,0RJ0222C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-118.7,159.85,-90,199.102266436121,8,2,1,1,4,10000,2,2,4,7,4,230,427,40013,2,10,14.890
