D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,ModelName,NAME_Num,NAME_Part,Kind,CHIP_L,CHIP_W,CHIP_T,VOLUME,NOZZLE_A,NOZZLE_B,NOZZLE_C,NOZZLE_D,NOZZLE_E,X,Y,A,DISTANCE,TapeWidth,TapePitch,SupplyType_num,SupplyKind_num,TapeKind_num,PartCount,TURN,TS,MS,NP,HEAD,NOZZLE,NOZZLE_Slot,PU,SIDE,Mounter_Order,TACT
30,30,2,3,1,2,2,3,1,1,1,0,0,0,5,2445,EBC64038503,1,1,0.5,0.35,0.175,230,0,0,0,0,-93.5,50,-90,106.029477033512,8,2,1,1,4,10000,4,1,16,12,4,230,414,40016,1,1,15.141
30,30,2,3,1,2,2,3,1,1,1,0,0,0,5,2205,EBC62528409,1,1,0.5,0.35,0.175,230,0,0,0,0,-17.95,73.4,-90,75.5629704286432,8,2,1,1,4,10000,3,1,12,1,2,230,221,20010,1,2,15.152
30,30,2,3,1,2,2,3,1,1,1,0,0,0,5,2205,EBC62528409,1,1,0.5,0.35,0.175,230,0,0,0,0,-17.95,71.4,-90,73.6217528995337,8,2,1,1,4,10000,3,2,14,9,2,230,211,20010,1,3,15.152
30,30,2,3,1,2,2,3,1,1,1,0,0,0,5,2210,EBC62528423,1,1,0.5,0.35,0.175,230,0,0,0,0,-17.7,36.35,-90,40.4303413292542,8,2,1,1,4,10000,5,2,1,8,1,230,128,10021,1,4,16.058
30,30,2,3,1,2,2,3,1,1,1,0,0,0,5,2213,EBC62528429,1,1,0.5,0.35,0.175,230,0,0,0,0,-120.2,166.55,180,205.394601925172,8,2,1,1,4,10000,5,2,1,3,7,230,723,70024,1,5,16.174
30,30,2,3,1,2,2,3,1,1,1,0,0,0,5,240,0RJ0222C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-114.1,164.35,-90,200.074317442294,8,2,1,1,4,10000,1,3,2,2,2,230,222,20013,2,6,15.152
30,30,2,3,1,2,2,3,1,1,1,0,0,0,5,240,0RJ0222C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-113.1,164.35,-90,199.505720469364,8,2,1,1,4,10000,2,1,1,8,2,230,228,20013,2,7,15.152
30,30,2,3,1,2,2,3,1,1,1,0,0,0,5,240,0RJ0222C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-119.1,164.75,180,203.291348807567,8,2,1,1,4,10000,1,7,8,16,2,230,218,20013,2,8,15.152
30,30,2,3,1,2,2,3,1,1,1,0,0,0,5,240,0RJ0222C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-103.1,163.95,-90,193.672952422376,8,2,1,1,4,10000,6,1,14,9,2,230,211,20013,2,9,15.152
30,30,2,3,1,2,2,3,1,1,1,0,0,0,5,240,0RJ0222C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-111.1,164.35,-90,198.378760203808,8,2,1,1,4,10000,1,1,3,9,2,230,211,20013,2,10,15.152
30,30,2,3,1,2,2,3,1,1,1,0,0,0,5,240,0RJ0222C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-118.7,159.85,-90,199.102266436121,8,2,1,1,4,10000,3,1,4,8,2,230,228,20013,2,11,15.152
30,30,2,3,1,2,2,3,1,1,1,0,0,0,5,240,0RJ0222C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-116.6,164.35,-90,201.510502207701,8,2,1,1,4,10000,4,2,4,15,2,230,217,20013,2,12,15.152
30,30,2,3,1,2,2,3,1,1,1,0,0,0,5,240,0RJ0222C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-117.7,159.85,-90,198.507713955906,8,2,1,1,4,10000,4,1,2,7,2,230,227,20013,2,13,15.152
30,30,2,3,1,2,2,3,1,1,1,0,0,0,5,325,0RJ4703C478,1,1,0.5,0.35,0.175,230,0,0,0,0,-32.1,154.15,180,157.456763906794,8,2,1,1,4,10000,2,2,7,3,7,230,723,70023,1,14,16.174
30,30,2,3,1,2,2,3,1,1,1,0,0,0,5,325,0RJ4703C478,1,1,0.5,0.35,0.175,230,0,0,0,0,-32.1,158.55,180,161.766846108837,8,2,1,1,4,10000,2,3,8,7,7,230,713,70023,1,15,16.174
30,30,2,3,1,2,2,3,1,1,1,0,0,0,5,240,0RJ0222C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-120.6,165.15,-90,204.496656451884,8,2,1,1,4,10000,6,3,16,5,2,230,225,20013,2,16,15.152
30,30,2,3,1,2,2,3,1,1,1,0,0,0,5,2328,EBC63855601,1,1,0.5,0.35,0.175,230,0,0,0,0,-41.8,149.65,180,155.378127482603,8,2,1,1,4,10000,4,3,6,4,4,230,424,40014,1,17,15.141
30,30,2,3,1,2,2,3,1,1,1,0,0,0,5,336,0RJ5601C478,1,1,0.5,0.35,0.175,230,0,0,0,0,-80.8,135.85,180,158.06284351485,8,2,1,1,4,10000,3,1,9,6,2,230,226,20012,2,18,15.152
30,30,2,3,1,2,2,3,1,1,1,0,0,0,5,336,0RJ5601C478,1,1,0.5,0.35,0.175,230,0,0,0,0,-80.8,138.85,180,160.648568309836,8,2,1,1,4,10000,1,4,4,10,2,230,212,20012,2,19,15.152
30,30,2,3,1,2,2,3,1,1,1,0,0,0,5,240,0RJ0222C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-104.1,163.95,-90,194.20713812834,8,2,1,1,4,10000,1,2,1,1,2,230,221,20013,2,20,15.152
30,30,2,3,1,2,2,3,1,1,1,0,0,0,5,336,0RJ5601C478,1,1,0.5,0.35,0.175,230,0,0,0,0,-80.8,136.85,180,158.923133935875,8,2,1,1,4,10000,2,2,14,14,2,230,216,20012,2,21,15.152
30,30,2,3,1,2,2,3,1,1,1,0,0,0,5,336,0RJ5601C478,1,1,0.5,0.35,0.175,230,0,0,0,0,-80.8,139.85,180,161.513660412982,8,2,1,1,4,10000,1,6,11,13,2,230,215,20012,2,22,15.152
30,30,2,3,1,2,2,3,1,1,1,0,0,0,5,336,0RJ5601C478,1,1,0.5,0.35,0.175,230,0,0,0,0,-80.8,140.85,180,162.380302068939,8,2,1,1,4,10000,3,2,10,14,2,230,216,20012,2,23,15.152
30,30,2,3,1,2,2,3,1,1,1,0,0,0,5,336,0RJ5601C478,1,1,0.5,0.35,0.175,230,0,0,0,0,-80.8,137.85,180,159.785050927801,8,2,1,1,4,10000,2,1,12,6,2,230,226,20012,2,24,15.152
30,30,2,3,1,2,2,3,1,1,1,0,0,0,5,235,0RJ0000C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-86.8,155.35,180,177.9546641704,8,2,1,1,4,10000,1,2,13,3,1,230,123,10022,1,25,16.058
30,30,2,3,1,2,2,3,1,1,1,0,0,0,5,235,0RJ0000C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-86.8,153.35,180,176.211414215992,8,2,1,1,4,10000,5,3,11,13,1,230,115,10022,1,26,16.058
30,30,2,3,1,2,2,3,1,1,1,0,0,0,5,235,0RJ0000C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-76.7,161.25,180,178.562181046267,8,2,1,1,4,10000,1,3,12,4,1,230,124,10022,1,27,16.058
30,30,2,3,1,2,2,3,1,1,1,0,0,0,5,235,0RJ0000C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-86.8,154.35,180,177.082360781643,8,2,1,1,4,10000,4,2,11,12,1,230,114,10022,1,28,16.058
30,30,2,3,1,2,2,3,1,1,1,0,0,0,5,321,0RJ4701C478,1,0.97,0.49,0.35,0.166355,230,0,0,0,0,-83.3,164.05,-90,183.987207435735,8,2,1,1,4,10000,6,1,7,11,4,230,413,40019,1,29,15.141
30,30,2,3,1,2,2,3,1,1,1,0,0,0,5,2204,EBC62528408,1,1,0.5,0.35,0.175,230,0,0,0,0,-77.3,169.15,-90,185.975838484466,8,2,1,1,4,10000,3,2,6,12,2,230,214,20011,2,30,15.152
30,30,2,3,1,2,2,3,1,1,1,0,0,0,5,2204,EBC62528408,1,1,0.5,0.35,0.175,230,0,0,0,0,-85.3,153.25,-90,175.390001140316,8,2,1,1,4,10000,5,5,12,8,5,230,528,50023,2,31,15.667
30,30,2,3,1,2,2,3,1,1,1,0,0,0,5,2204,EBC62528408,1,1,0.5,0.35,0.175,230,0,0,0,0,-84.3,153.25,-90,174.905838953421,8,2,1,1,4,10000,5,6,10,7,5,230,527,50023,2,32,15.667
30,30,2,3,1,2,2,3,1,1,1,0,0,0,5,2204,EBC62528408,1,1,0.5,0.35,0.175,230,0,0,0,0,-77.5,155.45,180,173.697877073958,8,2,1,1,4,10000,1,5,6,3,2,230,223,20011,2,33,15.152
