D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,ModelName,NAME_Num,NAME_Part,Kind,CHIP_L,CHIP_W,CHIP_T,VOLUME,NOZZLE_A,NOZZLE_B,NOZZLE_C,NOZZLE_D,NOZZLE_E,X,Y,A,DISTANCE,TapeWidth,TapePitch,SupplyType_num,SupplyKind_num,TapeKind_num,PartCount,TURN,TS,MS,NP,HEAD,NOZZLE,NOZZLE_Slot,PU,SIDE,Mounter_Order,TACT
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,72,0CK331BKFDA,2,0.9,0.5,0.5,0.225,230,0,0,0,0,-122.5,119.65,0,171.237765986362,8,2,1,1,4,10000,6,2,16,10,4,230,412,40010,2,1,21.240
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,762,EAE65238103,2,0.92,0.49,0.3,0.13524,230,0,0,0,0,-47.7,52.55,0,70.9703635329565,8,2,1,1,4,5000,1,1,1,2,5,230,522,50018,2,2,21.182
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,761,EAE65238102,2,0.92,0.49,0.3,0.13524,230,0,0,0,0,-108.95,176.15,90,207.120556681369,8,2,1,1,4,5000,6,2,7,14,4,230,416,40012,2,3,21.240
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,4,0CC102CK41A,2,1.42,0.7,0.8,0.7952,235,230,0,0,0,-112.6,158.75,-90,194.628678513728,8,4,2,1,4,5000,6,2,1,2,5,230,522,50014,1,4,21.182
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,4,0CC102CK41A,2,1.42,0.7,0.8,0.7952,235,230,0,0,0,-112.6,161.75,90,197.083288231144,8,4,2,1,4,5000,7,3,1,6,5,230,512,50014,1,5,21.182
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,630,EAE64462201,2,1,0.5,0.3,0.15,230,0,0,0,0,-47.4,49.75,0,68.7155186257078,8,2,1,1,4,5000,6,3,8,7,5,230,513,50015,2,6,21.182
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,762,EAE65238103,2,0.92,0.49,0.3,0.13524,230,0,0,0,0,-128,151.15,180,198.066459805793,8,2,1,1,4,5000,1,14,3,14,4,230,416,40013,2,7,21.240
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,425,EAE62681704,2,1,0.5,0.5,0.25,230,0,0,0,0,-126.2,151.15,180,196.908005169927,8,2,1,1,4,5000,5,1,14,6,4,230,426,40020,1,8,21.240
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,42,0CH4471K412,2,1.41,0.73,0.8,0.82344,230,0,0,0,0,-121.8,147.45,0,191.250470587656,8,4,2,1,4,5000,8,2,6,5,2,230,225,20016,2,9,19.983
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,761,EAE65238102,2,0.92,0.49,0.3,0.13524,230,0,0,0,0,-121.5,148.75,0,192.064605016125,8,2,1,1,4,5000,7,1,7,6,4,230,426,40012,2,10,21.240
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,407,EAE52158501,2,1.9,1.2,1.2,2.736,235,0,0,0,0,-122.1,145.65,0,190.058760650489,8,4,4,1,3,5000,1,3,3,15,3,235,317,30024,1,11,19.677
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,761,EAE65238102,2,0.92,0.49,0.3,0.13524,230,0,0,0,0,-117.9,151.15,180,191.694372635192,8,2,1,1,4,5000,6,1,9,6,4,230,426,40012,2,12,21.240
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,425,EAE62681704,2,1,0.5,0.5,0.25,230,0,0,0,0,-116.1,151.15,180,190.592582489456,8,2,1,1,4,5000,8,2,9,13,4,230,415,40020,1,13,21.240
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,425,EAE62681704,2,1,0.5,0.5,0.25,230,0,0,0,0,-114.3,151.15,180,189.501484163053,8,2,1,1,4,5000,5,2,13,14,4,230,416,40020,1,14,21.240
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,760,EAE65238101,2,0.92,0.48,0.45,0.19872,230,0,0,0,0,-98.2,155.25,90,183.700306205515,8,2,1,1,4,5000,7,1,5,4,4,230,424,40011,2,15,21.240
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,760,EAE65238101,2,0.92,0.48,0.45,0.19872,230,0,0,0,0,-98.2,161.05,-90,188.627523177292,8,2,1,1,4,5000,7,2,8,12,4,230,414,40011,2,16,21.240
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,431,EAE62681711,2,0.92,0.49,0.3,0.13524,230,0,0,0,0,-91.1,159.65,-90,183.81330882175,8,2,1,1,4,5000,7,1,1,1,4,230,421,40010,1,17,21.240
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,431,EAE62681711,2,0.92,0.49,0.3,0.13524,230,0,0,0,0,-91.1,170.55,-90,193.355921812599,8,2,1,1,4,5000,7,2,2,9,4,230,411,40010,1,18,21.240
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,621,EAE64383201,2,1.6,0.8,0.8,1.024,230,0,0,0,0,-86.7,156.55,90,178.954721927084,8,4,2,1,4,5000,7,1,4,3,4,230,423,40011,1,19,21.240
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,621,EAE64383201,2,1.6,0.8,0.8,1.024,230,0,0,0,0,-86.7,153.65,90,176.423389889209,8,4,2,1,4,5000,6,1,10,3,4,230,423,40011,1,20,21.240
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,621,EAE64383201,2,1.6,0.8,0.8,1.024,230,0,0,0,0,-86.7,167.45,90,188.564027587448,8,4,2,1,4,5000,6,2,11,11,4,230,413,40011,1,21,21.240
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,621,EAE64383201,2,1.6,0.8,0.8,1.024,230,0,0,0,0,-86.7,164.55,90,185.993528113212,8,4,2,1,4,5000,7,2,6,11,4,230,413,40011,1,22,21.240
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,426,EAE62681705,2,0.92,0.49,0.3,0.13524,230,0,0,0,0,-93.1,159.65,90,184.812695721912,8,2,1,1,4,5000,3,2,4,14,4,230,416,40013,1,23,21.240
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,426,EAE62681705,2,0.92,0.49,0.3,0.13524,230,0,0,0,0,-93.1,170.55,90,194.306233816623,8,2,1,1,4,5000,6,2,4,15,4,230,417,40013,1,24,21.240
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,426,EAE62681705,2,0.92,0.49,0.3,0.13524,230,0,0,0,0,-92.1,159.65,90,184.310966846794,8,2,1,1,4,5000,7,2,10,15,4,230,417,40013,1,25,21.240
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,426,EAE62681705,2,0.92,0.49,0.3,0.13524,230,0,0,0,0,-92.1,170.55,90,193.829080635492,8,2,1,1,4,5000,6,1,1,7,4,230,427,40013,1,26,21.240
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,423,EAE62681702,2,0.92,0.49,0.3,0.13524,230,0,0,0,0,-112.9,152.05,-90,189.382186332295,8,2,1,1,4,5000,7,1,3,5,4,230,425,40012,1,27,21.240
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,423,EAE62681702,2,0.92,0.49,0.3,0.13524,230,0,0,0,0,-112.9,150.25,-90,187.940076886225,8,2,1,1,4,5000,6,2,14,13,4,230,415,40012,1,28,21.240
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,423,EAE62681702,2,0.92,0.49,0.3,0.13524,230,0,0,0,0,-109.1,152.05,-90,187.141690972375,8,2,1,1,4,5000,7,2,9,13,4,230,415,40012,1,29,21.240
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,423,EAE62681702,2,0.92,0.49,0.3,0.13524,230,0,0,0,0,-109.1,150.25,-90,185.682181428375,8,2,1,1,4,5000,6,1,12,5,4,230,425,40012,1,30,21.240
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,81,0CK476EDK6A,2,3.1,1.55,1.6,7.688,235,0,0,0,0,-59,68.7,180,90.5576611888801,8,4,4,1,3,5000,2,1,2,14,3,235,316,30015,2,31,19.677
