Recipe: EBR32094107-BOT_0518_2
Description: 
Product: EBR32094107-BOT

Feeder Setup
Machine #,Machine Name,Table,Slot,SubSlot,Part,Supply,Placements,Substitute Parts,ThinTypeSingle
1,"NPM-WX-1",1,10001,,,,,,
1,"NPM-WX-1",1,10002,,,,,,
1,"NPM-WX-1",1,10003,,,,,,
1,"NPM-WX-1",1,10004,,,,,,
1,"NPM-WX-1",1,10005,,,,,,
1,"NPM-WX-1",1,10006,,,,,,
1,"NPM-WX-1",1,10007,,,,,,
1,"NPM-WX-1",1,10008,,,,,,
1,"NPM-WX-1",1,10009,,,,,,
1,"NPM-WX-1",1,10010,,,,,,
1,"NPM-WX-1",1,10011,,,,,,
1,"NPM-WX-1",1,10012,,,,,,
1,"NPM-WX-1",1,10013,,,,,,
1,"NPM-WX-1",1,10014,,,,,,
1,"NPM-WX-1",1,10015,,,,,,
1,"NPM-WX-1",1,10016,,,,,,
1,"NPM-WX-1",1,10017,,,,,,
1,"NPM-WX-1",1,10018,,,,,,
1,"NPM-WX-1",1,10019,L,"",,0,,
1,"NPM-WX-1",1,10019,R,"EAE65238106",P0802_S,1,"",
1,"NPM-WX-1",1,10020,L,"EAE65238202",P0804_S,2,"",
1,"NPM-WX-1",1,10020,R,"EBC64038523",P0802_S,2,"",
1,"NPM-WX-1",1,10021,L,"EAM62152301",P0802_S,1,"",
1,"NPM-WX-1",1,10021,R,"EAE63422303",P0802_S,1,"",
1,"NPM-WX-1",1,10022,L,"",,0,,
1,"NPM-WX-1",1,10022,R,"EBC64038547",P0802_S,1,"",
1,"NPM-WX-1",1,10023,L,"EBC64038508",P0802_S,4,"",
1,"NPM-WX-1",1,10023,R,"EAE63461927",P0802_S,2,"",
1,"NPM-WX-1",1,10024,L,"EBC64038515",P0802_S,3,"",
1,"NPM-WX-1",1,10024,R,"EBC62975829",P0802_S,2,"",
1,"NPM-WX-1",1,10025,L,"0RJ6801C478",P0802_S,3,"",
1,"NPM-WX-1",1,10025,R,"EBC63977472",P0804_L,2,"",
1,"NPM-WX-1",1,10026,L,"EBC62528411",P0802_S,2,"",
1,"NPM-WX-1",1,10026,R,"EBC64558916",P0802_S,2,"",
1,"NPM-WX-1",1,10027,L,"EBC62528423",P0802_S,7,"",
1,"NPM-WX-1",1,10027,R,"EAE65238101",P0802_S,14,"",
1,"NPM-WX-1",1,10028,L,"0RJ2701C478",P0802_S,5,"",
1,"NPM-WX-1",1,10028,R,"0CK331BKFDA",P0802_S,15,"",
1,"NPM-WX-1",1,10029,L,"EBC63977452",P0804_L,4,"",
1,"NPM-WX-1",1,10029,R,"EAE65238103",P0802_S,24,"",
1,"NPM-WX-1",1,10030,L,"0RJ5601C478",P0802_S,12,"",
1,"NPM-WX-1",1,10030,R,"0RJ0000C678",P0802_S,29,"",
1,"NPM-WX-1",2,20001,,,,,,
1,"NPM-WX-1",2,20002,,,,,,
1,"NPM-WX-1",2,20003,,,,,,
1,"NPM-WX-1",2,20004,,,,,,
1,"NPM-WX-1",2,20005,,,,,,
1,"NPM-WX-1",2,20006,,,,,,
1,"NPM-WX-1",2,20007,,,,,,
1,"NPM-WX-1",2,20008,,,,,,
1,"NPM-WX-1",2,20009,,,,,,
