Recipe: EBR39629601-TOP_2
Description: 
Product: EBR32094107-BOT

Feeder Setup
Machine #,Machine Name,Table,Slot,SubSlot,Part,Supply,Placements,Substitute Parts,ThinTypeSingle
1,"NPM-WX-1",1,10001,,,,,,
1,"NPM-WX-1",1,10002,,,,,,
1,"NPM-WX-1",1,10003,,,,,,
1,"NPM-WX-1",1,10004,,,,,,
1,"NPM-WX-1",1,10005,,,,,,
1,"NPM-WX-1",1,10006,,,,,,
1,"NPM-WX-1",1,10007,,,,,,
1,"NPM-WX-1",1,10008,,,,,,
1,"NPM-WX-1",1,10009,,,,,,
1,"NPM-WX-1",1,10010,,,,,,
1,"NPM-WX-1",1,10011,,"EAN65167101",E1208_L,1,"",
1,"NPM-WX-1",1,10012,,"EAP64446901",E1208_L,1,"",
1,"NPM-WX-1",1,10013,,"0RJ0561H680",E1204_S,4,"",
1,"NPM-WX-1",1,10014,,"EAM35298003",E1208_L,1,"",
1,"NPM-WX-1",1,10015,,"EAN62796702",E1612_L,2,"",
1,"NPM-WX-1",1,10016,,"0TRKE80023B",E1208_L,1,"",
1,"NPM-WX-1",1,10017,,"0ILNRON005C",E1208_L,2,"",
1,"NPM-WX-1",1,10018,,"EBK63791301",E1208_L,1,"",
1,"NPM-WX-1",1,10019,,"EBC64295501",E1204_S,2,"",
1,"NPM-WX-1",1,10020,,"EAN65167201",E1208_L,1,"",
1,"NPM-WX-1",1,10021,L,"EAE65242001",E0804_S,1,"",
1,"NPM-WX-1",1,10021,R,"EAP61829301",E0804_S,2,"",
1,"NPM-WX-1",1,10022,L,"EAW64255701",E0804_S,1,"",
1,"NPM-WX-1",1,10022,R,"EAE60364701",E0804_S,3,"",
1,"NPM-WX-1",1,10023,L,"EAW63083701",E0804_S,1,"",
1,"NPM-WX-1",1,10023,R,"EAE63722001",E0804_S,5,"",
1,"NPM-WX-1",1,10024,L,"EBC64816201",P0804_S,2,"",
1,"NPM-WX-1",1,10024,R,"EAP31684701",E0804_L,10,"",
1,"NPM-WX-1",1,10025,,,,,,
1,"NPM-WX-1",1,10026,,,,,,
1,"NPM-WX-1",1,10027,,,,,,
1,"NPM-WX-1",1,10028,,,,,,
1,"NPM-WX-1",1,10029,,,,,,
1,"NPM-WX-1",1,10030,,,,,,
1,"NPM-WX-1",2,20001,,,,,,
1,"NPM-WX-1",2,20002,,,,,,
1,"NPM-WX-1",2,20003,,,,,,
1,"NPM-WX-1",2,20004,,,,,,
1,"NPM-WX-1",2,20005,,,,,,
1,"NPM-WX-1",2,20006,,,,,,
1,"NPM-WX-1",2,20007,,,,,,
1,"NPM-WX-1",2,20008,,,,,,
1,"NPM-WX-1",2,20009,,,,,,
1,"NPM-WX-1",2,20010,L,"EAM62152401",P0804_S,4,"",
1,"NPM-WX-1",2,20010,R,"EAM62152001",P0804_S,6,"",
1,"NPM-WX-1",2,20011,L,"EBC62528401",P0804_S,5,"",
1,"NPM-WX-1",2,20011,R,"EAE52158501",E0804_S,9,"",
1,"NPM-WX-1",2,20012,L,"0RZZR00001E",P0804_L,3,"",
1,"NPM-WX-1",2,20012,R,"EBC63977452",P0804_L,4,"",
1,"NPM-WX-1",2,20013,L,"0RJ6801C478",P0802_S,3,"",
