Part,Name,SupplyKind,TapeKind,TapeWidth,TapePitch,PartCount,Polarity,L,W,T,Number,PartName,Volume,LWTNumber,PartNum
EAP,62887356,Tape and Reel,Tray,8,2,5000,Yes,0.58,0.3,0.3,995,EAP62887356,0.0522,1,32
EAE,64361901,Tape and Reel,Tray,8,2,5000,Yes,0.6,0.3,0.3,162,EAE64361901,0.054,2,26
EAE,64361907,Tape and Reel,Tray,8,2,5000,Yes,0.6,0.3,0.3,162,EAE64361907,0.054,2,26
EAE,64361908,Tape and Reel,Tray,8,2,5000,Yes,0.6,0.3,0.3,162,EAE64361908,0.054,2,26
EAE,64362015,Tape and Reel,Tray,8,2,5000,Yes,0.6,0.3,0.3,162,EAE64362015,0.054,2,26
EAE,64362506,Tape and Reel,Tray,8,2,5000,Yes,0.6,0.3,0.3,162,EAE64362506,0.054,2,26
EAE,66215701,Tape and Reel,Tray,8,2,5000,Yes,0.6,0.3,0.3,162,EAE66215701,0.054,2,26
EAE,66308201,Tape and Reel,Tray,8,2,5000,Yes,0.6,0.3,0.3,162,EAE66308201,0.054,2,26
ECA,30400001,Tape and Reel,Tray,8,2,5000,Yes,0.6,0.48,0.4,1324,ECA30400001,0.1152,3,43
EAE,32185101,Tape and Reel,Paper,8,2,5000,Yes,0.87,0.46,0.48,163,EAE32185101,0.192096,4,26
EAE,62967014,Tape and Reel,Paper,8,2,10000,Yes,0.89,0.49,0.43,164,EAE62967014,0.187523,5,26
0CC,271BK4AA,Tape and Reel,Paper,8,2,5000,Yes,0.9,0.43,0.43,18,0CC271BK4AA,0.16641,6,7
0CK,681BKFDA,Tape and Reel,Paper,8,2,5000,Yes,0.9,0.43,0.43,42,0CK681BKFDA,0.16641,6,10
0CZ,ZB00055C,Tape and Reel,Paper,8,2,5000,Yes,0.9,0.43,0.43,64,0CZZB00055C,0.16641,6,11
EAM,62270901,Tape and Reel,Paper,8,2,10000,Yes,0.9,0.45,0.35,539,EAM62270901,0.14175,7,30
SFB,H0008108,Tape and Reel,Paper,8,2,5000,Yes,0.9,0.45,0.42,1387,SFBH0008108,0.1701,8,58
EAE,62967015,Tape and Reel,Paper,8,2,10000,Yes,0.9,0.45,0.45,165,EAE62967015,0.18225,9,26
EAE,62967002,Tape and Reel,Paper,8,2,10000,Yes,0.9,0.45,0.48,166,EAE62967002,0.1944,10,26
0CC,150BK4AA,Tape and Reel,Paper,8,2,10000,Yes,0.9,0.45,0.5,19,0CC150BK4AA,0.2025,11,7
0CK,103BFD6A,Tape and Reel,Paper,8,2,10000,Yes,0.9,0.45,0.5,43,0CK103BFD6A,0.2025,11,10
EAE,62603502,Tape and Reel,Paper,8,2,5000,Yes,0.9,0.45,0.5,167,EAE62603502,0.2025,11,26
EAE,65238109,Tape and Reel,Paper,8,2,5000,Yes,0.9,0.45,0.5,167,EAE65238109,0.2025,11,26
EAM,62152301,Tape and Reel,Paper,8,2,10000,Yes,0.9,0.45,0.5,540,EAM62152301,0.2025,11,30
0CH,5220K618,Tape and Reel,Paper,8,2,5000,Yes,0.9,0.46,0.3,29,0CH5220K618,0.1242,12,9
EAE,62603504,Tape and Reel,Paper,8,2,5000,Yes,0.9,0.47,0.5,168,EAE62603504,0.2115,13,26
EAE,62967028,Tape and Reel,Paper,8,2,10000,Yes,0.9,0.48,0.3,169,EAE62967028,0.1296,14,26
0CK,221BK56A,Tape and Reel,Tray,8,2,10000,Yes,0.9,0.5,0.3,44,0CK221BK56A,0.135,15,10
